InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
I536067,F009,PASSION FRUIT,45,1/31/2024 0:00,3.8,12327,Brazil,0.04,Wire Transfer,8.4,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F008,DRAGON FRUIT,45,1/31/2024 0:00,7.19,12327,Brazil,0.01,Wire Transfer,7.21,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F007,STAR FRUIT,52,1/31/2024 0:00,5.7,12327,Brazil,0.02,Wire Transfer,7.48,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),57,1/31/2024 0:00,3.54,12327,Brazil,0.05,Wire Transfer,6.26,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),37,1/31/2024 0:00,4.55,12327,Brazil,0.02,Wire Transfer,7.74,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F025,CRANBERRIES,33,1/31/2024 0:00,8.2,12327,Brazil,0.04,Wire Transfer,4.53,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),43,1/31/2024 0:00,6.11,12327,Brazil,0.1,Wire Transfer,5.43,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,V041,AVOCADO (HASS),16,1/31/2024 0:00,2.94,12327,Brazil,0.03,Wire Transfer,5.77,Vegetables,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),50,1/31/2024 0:00,5.35,12327,Brazil,0.05,Wire Transfer,3.36,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F038,ALMONDS (GREEN),25,1/31/2024 0:00,2.27,12327,Brazil,0.02,Wire Transfer,5.06,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F005,PAPAYA (RED),39,1/31/2024 0:00,5.78,12327,Brazil,0,Wire Transfer,3.97,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F020,CEDRAT,1,1/31/2024 0:00,2.49,12327,Brazil,0.1,Wire Transfer,327.07,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F004,COCONUT (YOUNG),52,1/31/2024 0:00,4.01,12327,Brazil,0.04,Wire Transfer,4.46,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F017,BLOOD ORANGE,17,1/31/2024 0:00,1.9,12327,Brazil,0.01,Wire Transfer,4.53,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),54,1/31/2024 0:00,7.33,12327,Brazil,0.1,Wire Transfer,9.16,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F018,CLEMENTINE,12,1/31/2024 0:00,1.26,12327,Brazil,0.04,Wire Transfer,7.94,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F001,BANANA (ORGANIC),49,1/31/2024 0:00,6.69,12327,Brazil,0.04,Wire Transfer,6.73,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F007,STAR FRUIT,76,1/31/2024 0:00,5.68,12327,Brazil,0.05,Wire Transfer,9.21,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,V048,GARLIC (BULB),1,1/31/2024 0:00,2.75,12327,Brazil,0.1,Wire Transfer,324.38,Vegetables,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F038,ALMONDS (GREEN),1,1/31/2024 0:00,4.34,12327,Brazil,0.1,Wire Transfer,289.78,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F023,RASPBERRIES (HALF PINT),77,1/31/2024 0:00,5.11,12327,Brazil,0.01,Wire Transfer,6.85,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,33,1/31/2024 0:00,5.41,12327,Brazil,0.05,Wire Transfer,5.1,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F016,POMELO,20,1/31/2024 0:00,1.63,12327,Brazil,0.02,Wire Transfer,3.92,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,30,1/31/2024 0:00,6.21,12327,Brazil,0.04,Wire Transfer,3.68,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),63,1/31/2024 0:00,6.6,12327,Brazil,0.04,Wire Transfer,7.42,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F027,ELDERBERRIES,40,1/31/2024 0:00,4.07,12327,Brazil,0.02,Wire Transfer,4.54,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),65,1/31/2024 0:00,4.6,12327,Brazil,0.02,Wire Transfer,13.67,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F027,ELDERBERRIES,38,1/31/2024 0:00,7.25,12327,Brazil,0.03,Wire Transfer,4.47,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F020,CEDRAT,1,1/31/2024 0:00,1.03,12327,Brazil,0.15,Wire Transfer,293.69,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F031,PEACHES (FREESTONE),1,1/31/2024 0:00,3.74,12327,Brazil,0.15,Wire Transfer,292.73,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F033,APRICOTS (DRIED),1,1/31/2024 0:00,3.57,12327,Brazil,0.15,Wire Transfer,281.24,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),68,1/31/2024 0:00,3.5,12327,Brazil,0.1,Wire Transfer,8.28,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),33,1/31/2024 0:00,4.86,12327,Brazil,0.03,Wire Transfer,6.63,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F022,BLUEBERRIES (PINT),65,1/31/2024 0:00,4.97,12327,Brazil,0.05,Wire Transfer,6.96,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,61,1/31/2024 0:00,4.49,12327,Brazil,0.03,Wire Transfer,8.96,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F005,PAPAYA (RED),46,1/31/2024 0:00,4.9,12327,Brazil,0.02,Wire Transfer,6.95,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F014,GRAPEFRUIT (RUBY RED),34,1/31/2024 0:00,1.51,12327,Brazil,0.01,Wire Transfer,2.66,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),54,1/31/2024 0:00,5.24,12327,Brazil,0.03,Wire Transfer,5.24,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F038,ALMONDS (GREEN),12,1/31/2024 0:00,4.51,12327,Brazil,0.01,Wire Transfer,8.45,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F001,BANANA (ORGANIC),34,1/31/2024 0:00,4.3,12327,Brazil,0,Wire Transfer,3.66,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F014,GRAPEFRUIT (RUBY RED),12,1/31/2024 0:00,2.64,12327,Brazil,0.05,Wire Transfer,6.96,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F008,DRAGON FRUIT,37,1/31/2024 0:00,4.57,12327,Brazil,0,Wire Transfer,8.61,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),45,1/31/2024 0:00,4.68,12327,Brazil,0.02,Wire Transfer,9.4,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F021,STRAWBERRIES (1LB),41,1/31/2024 0:00,6.01,12327,Brazil,0.01,Wire Transfer,3.58,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,V049,CARROTS (BABY),1,1/31/2024 0:00,3.56,12327,Brazil,0.15,Wire Transfer,297.19,Vegetables,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F007,STAR FRUIT,27,1/31/2024 0:00,5.75,12327,Brazil,0.02,Wire Transfer,5.4,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),36,1/31/2024 0:00,3.7,12327,Brazil,0,Wire Transfer,7.73,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),39,1/31/2024 0:00,2.59,12327,Brazil,0.01,Wire Transfer,9.18,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),54,1/31/2024 0:00,2.8,12327,Brazil,0.02,Wire Transfer,10.35,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),58,1/31/2024 0:00,5.47,12327,Brazil,0.03,Wire Transfer,6.94,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F004,COCONUT (YOUNG),51,1/31/2024 0:00,3.92,12327,Brazil,0.03,Wire Transfer,5.16,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F008,DRAGON FRUIT,36,1/31/2024 0:00,3.31,12327,Brazil,0.03,Wire Transfer,8.63,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),56,1/31/2024 0:00,5.61,12327,Brazil,0.03,Wire Transfer,6.01,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,46,1/31/2024 0:00,4.18,12327,Brazil,0.02,Wire Transfer,4.26,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,48,1/31/2024 0:00,2.79,12327,Brazil,0.03,Wire Transfer,10.11,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F018,CLEMENTINE,31,1/31/2024 0:00,1.36,12327,Brazil,0.02,Wire Transfer,3.04,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),55,1/31/2024 0:00,3.91,12327,Brazil,0.05,Wire Transfer,8.53,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F004,COCONUT (YOUNG),37,1/31/2024 0:00,4.51,12327,Brazil,0.02,Wire Transfer,5.68,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F011,ORANGE (VALENCIA),1,1/31/2024 0:00,2.5,12327,Brazil,0.15,Wire Transfer,277.72,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),43,1/31/2024 0:00,2.91,12327,Brazil,0.1,Wire Transfer,3.41,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F001,BANANA (ORGANIC),44,1/31/2024 0:00,6.59,12327,Brazil,0.04,Wire Transfer,9.42,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F001,BANANA (ORGANIC),52,1/31/2024 0:00,5.62,12327,Brazil,0.04,Wire Transfer,6.9,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F005,PAPAYA (RED),27,1/31/2024 0:00,4.66,12327,Brazil,0.1,Wire Transfer,6.38,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F019,KUMQUAT,25,1/31/2024 0:00,1.09,12327,Brazil,0.04,Wire Transfer,3.61,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F016,POMELO,1,1/31/2024 0:00,2.23,12327,Brazil,0.1,Wire Transfer,279.02,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F001,BANANA (ORGANIC),31,1/31/2024 0:00,6.07,12327,Brazil,0.05,Wire Transfer,6.73,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F029,MULBERRIES,66,1/31/2024 0:00,6.2,12327,Brazil,0.03,Wire Transfer,7.09,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F014,GRAPEFRUIT (RUBY RED),21,1/31/2024 0:00,2.58,12327,Brazil,0,Wire Transfer,3.73,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F007,STAR FRUIT,28,1/31/2024 0:00,2.76,12327,Brazil,0,Wire Transfer,5.43,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),29,1/31/2024 0:00,6.26,12327,Brazil,0.05,Wire Transfer,7.04,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F001,BANANA (ORGANIC),54,1/31/2024 0:00,4.4,12327,Brazil,0,Wire Transfer,4.72,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F016,POMELO,9,1/31/2024 0:00,2.65,12327,Brazil,0.05,Wire Transfer,12.12,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F021,STRAWBERRIES (1LB),44,1/31/2024 0:00,7.26,12327,Brazil,0.03,Wire Transfer,4.25,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F004,COCONUT (YOUNG),71,1/31/2024 0:00,5.64,12327,Brazil,0.04,Wire Transfer,7.62,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F017,BLOOD ORANGE,14,1/31/2024 0:00,2.68,12327,Brazil,0.04,Wire Transfer,6.48,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),50,1/31/2024 0:00,4.35,12327,Brazil,0.03,Wire Transfer,8.76,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F007,STAR FRUIT,55,1/31/2024 0:00,5.33,12327,Brazil,0.05,Wire Transfer,4.08,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),26,1/31/2024 0:00,6.63,12327,Brazil,0.04,Wire Transfer,5.3,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F007,STAR FRUIT,51,1/31/2024 0:00,7.31,12327,Brazil,0.05,Wire Transfer,5.04,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F025,CRANBERRIES,44,1/31/2024 0:00,7.65,12327,Brazil,0.03,Wire Transfer,4.81,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),63,1/31/2024 0:00,3.94,12327,Brazil,0.01,Wire Transfer,4.33,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,V043,BELL PEPPERS (MIXED),28,1/31/2024 0:00,3.84,12327,Brazil,0,Wire Transfer,3.35,Vegetables,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),50,1/31/2024 0:00,3.8,12327,Brazil,0.04,Wire Transfer,5.76,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F025,CRANBERRIES,54,1/31/2024 0:00,7.65,12327,Brazil,0.03,Wire Transfer,4.76,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F008,DRAGON FRUIT,37,1/31/2024 0:00,5.1,12327,Brazil,0.05,Wire Transfer,5.83,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F008,DRAGON FRUIT,42,1/31/2024 0:00,4.53,12327,Brazil,0.03,Wire Transfer,4.06,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),41,1/31/2024 0:00,5.67,12327,Brazil,0.03,Wire Transfer,4.16,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,75,1/31/2024 0:00,3.84,12327,Brazil,0.05,Wire Transfer,5.6,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,V044,CUCUMBERS (PERSIAN),27,1/31/2024 0:00,3.69,12327,Brazil,0.03,Wire Transfer,3.31,Vegetables,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),36,1/31/2024 0:00,5.55,12327,Brazil,0,Wire Transfer,6.62,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F015,TANGERINE (HONEY),11,1/31/2024 0:00,2.84,12327,Brazil,0.02,Wire Transfer,8.26,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F039,PRUNES (DRIED),26,1/31/2024 0:00,3.36,12327,Brazil,0.04,Wire Transfer,4.17,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,53,1/31/2024 0:00,3.29,12327,Brazil,0.02,Wire Transfer,4.3,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),72,1/31/2024 0:00,4.13,12327,Brazil,0.04,Wire Transfer,7.98,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),39,1/31/2024 0:00,5.15,12327,Brazil,0.1,Wire Transfer,6.54,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),47,1/31/2024 0:00,4.66,12327,Brazil,0.04,Wire Transfer,3.99,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F005,PAPAYA (RED),68,1/31/2024 0:00,4.14,12327,Brazil,0.05,Wire Transfer,13.65,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F005,PAPAYA (RED),37,1/31/2024 0:00,4.96,12327,Brazil,0.03,Wire Transfer,7.77,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F002,PINEAPPLE (HAWAIIAN),35,1/31/2024 0:00,3.8,12327,Brazil,0.01,Wire Transfer,6.07,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),56,1/31/2024 0:00,5.61,12327,Brazil,0.1,Wire Transfer,8.46,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F034,CHERRIES (RAINIER),18,1/31/2024 0:00,4.86,12327,Brazil,0.04,Wire Transfer,6.95,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),53,1/31/2024 0:00,5.87,12327,Brazil,0.1,Wire Transfer,3.6,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,39,1/31/2024 0:00,3.97,12327,Brazil,0.02,Wire Transfer,9.57,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,V050,POTATOES (RUSSET),10,1/31/2024 0:00,1.97,12327,Brazil,0.03,Wire Transfer,9.45,Vegetables,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F008,DRAGON FRUIT,24,1/31/2024 0:00,3.37,12327,Brazil,0.03,Wire Transfer,3.89,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F004,COCONUT (YOUNG),58,1/31/2024 0:00,5.76,12327,Brazil,0.1,Wire Transfer,9.24,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,42,1/31/2024 0:00,6.93,12327,Brazil,0.03,Wire Transfer,5.41,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F005,PAPAYA (RED),28,1/31/2024 0:00,6.09,12327,Brazil,0.01,Wire Transfer,7.08,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F027,ELDERBERRIES,45,1/31/2024 0:00,7.6,12327,Brazil,0.03,Wire Transfer,4.67,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F018,CLEMENTINE,16,1/31/2024 0:00,2.3,12327,Brazil,0.01,Wire Transfer,5.89,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F004,COCONUT (YOUNG),68,1/31/2024 0:00,5.07,12327,Brazil,0.03,Wire Transfer,4.71,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),43,1/31/2024 0:00,3.91,12327,Brazil,0.01,Wire Transfer,10.35,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F004,COCONUT (YOUNG),35,1/31/2024 0:00,6.63,12327,Brazil,0,Wire Transfer,5.1,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),31,1/31/2024 0:00,4.96,12327,Brazil,0.02,Wire Transfer,5.95,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F006,KIWI (GREEN),29,1/31/2024 0:00,5.83,12327,Brazil,0.02,Wire Transfer,6.82,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F013,LIME (KEY),21,1/31/2024 0:00,3.23,12327,Brazil,0,Wire Transfer,4.51,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,52,1/31/2024 0:00,2.76,12327,Brazil,0.1,Wire Transfer,10.56,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F003,MANGO (ALPHONSO),45,1/31/2024 0:00,5.93,12327,Brazil,0.1,Wire Transfer,4.76,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F009,PASSION FRUIT,49,1/31/2024 0:00,6.42,12327,Brazil,0.03,Wire Transfer,10.23,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,V050,POTATOES (RUSSET),23,1/31/2024 0:00,3.94,12327,Brazil,0.05,Wire Transfer,3.48,Vegetables,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F004,COCONUT (YOUNG),59,1/31/2024 0:00,3.38,12327,Brazil,0.02,Wire Transfer,7.34,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F036,DATES (MEDJOOL),14,1/31/2024 0:00,2.27,12327,Brazil,0.02,Wire Transfer,7.55,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F027,ELDERBERRIES,65,1/31/2024 0:00,5.91,12327,Brazil,0.01,Wire Transfer,7.41,Berries,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),25,1/31/2024 0:00,4.14,12327,Brazil,0.03,Wire Transfer,4.01,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F005,PAPAYA (RED),55,1/31/2024 0:00,3.55,12327,Brazil,0.02,Wire Transfer,9.68,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F001,BANANA (ORGANIC),65,1/31/2024 0:00,3.85,12327,Brazil,0.04,Wire Transfer,6.54,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F019,KUMQUAT,1,1/31/2024 0:00,1.61,12327,Brazil,0.15,Wire Transfer,297.77,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F036,DATES (MEDJOOL),21,1/31/2024 0:00,3.54,12327,Brazil,0.02,Wire Transfer,6.38,Stone Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F020,CEDRAT,12,1/31/2024 0:00,2.55,12327,Brazil,0.03,Wire Transfer,7.69,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F001,BANANA (ORGANIC),39,1/31/2024 0:00,4.12,12327,Brazil,0.04,Wire Transfer,2.97,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F015,TANGERINE (HONEY),1,1/31/2024 0:00,1.87,12327,Brazil,0.1,Wire Transfer,292.18,Citrus,Online,,RodoLogistics,SA1 (Brazil),High
I536067,F010,GUAVA (PINK),54,1/31/2024 0:00,5.7,12327,Brazil,0.1,Wire Transfer,5.32,Tropical Fruit,Online,,RodoLogistics,SA1 (Brazil),High
I536068,F006,KIWI (GREEN),80,11/24/2024 0:00,6.2,13159,Brazil,0.04,Wire Transfer,14.44,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F005,PAPAYA (RED),27,11/24/2024 0:00,5.36,13159,Brazil,0.03,Wire Transfer,4.25,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F018,CLEMENTINE,1,11/24/2024 0:00,2.75,13159,Brazil,0.1,Wire Transfer,280.8,Citrus,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F004,COCONUT (YOUNG),57,11/24/2024 0:00,3.88,13159,Brazil,0.05,Wire Transfer,9.49,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F001,BANANA (ORGANIC),50,11/24/2024 0:00,5.35,13159,Brazil,0.02,Wire Transfer,11.67,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F007,STAR FRUIT,51,11/24/2024 0:00,6.25,13159,Brazil,0.04,Wire Transfer,7.02,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,V050,POTATOES (RUSSET),15,11/24/2024 0:00,2.99,13159,Brazil,0.03,Wire Transfer,6.07,Vegetables,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,V050,POTATOES (RUSSET),21,11/24/2024 0:00,4.17,13159,Brazil,0.02,Wire Transfer,4.19,Vegetables,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,V041,AVOCADO (HASS),1,11/24/2024 0:00,2.88,13159,Brazil,0.1,Wire Transfer,289.22,Vegetables,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F001,BANANA (ORGANIC),73,11/24/2024 0:00,4.02,13159,Brazil,0.01,Wire Transfer,11.2,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F004,COCONUT (YOUNG),66,11/24/2024 0:00,3.02,13159,Brazil,0.04,Wire Transfer,8.14,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F001,BANANA (ORGANIC),28,11/24/2024 0:00,7.83,13159,Brazil,0.03,Wire Transfer,3.88,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F001,BANANA (ORGANIC),55,11/24/2024 0:00,4.26,13159,Brazil,0.1,Wire Transfer,10.07,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F031,PEACHES (FREESTONE),1,11/24/2024 0:00,3.78,13159,Brazil,0.15,Wire Transfer,324.01,Stone Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F016,POMELO,1,11/24/2024 0:00,1.6,13159,Brazil,0.15,Wire Transfer,280.45,Citrus,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F002,PINEAPPLE (HAWAIIAN),89,11/24/2024 0:00,4.12,13159,Brazil,0.02,Wire Transfer,7.33,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F017,BLOOD ORANGE,35,11/24/2024 0:00,2.3,13159,Brazil,0.04,Wire Transfer,2.83,Citrus,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F010,GUAVA (PINK),67,11/24/2024 0:00,5.8,13159,Brazil,0.01,Wire Transfer,7.84,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F003,MANGO (ALPHONSO),55,11/24/2024 0:00,3.25,13159,Brazil,0.05,Wire Transfer,9.6,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
I536068,F006,KIWI (GREEN),93,11/24/2024 0:00,4.61,13159,Brazil,0.01,Wire Transfer,7.03,Tropical Fruit,Distributor,,Correios BR,SA1 (Brazil),Low
